Topic,DataValue,Stratification1,Location
Cardiovascular Disease,74.3,Age 45-64,Minnesota
Cancer,74.3,"Asian or Pacific Islander, non-Hispanic",Oklahoma
Cancer,74.3,"American Indian or Alaska Native, non-Hispanic",New York
Cardiovascular Disease,74.3,"Asian, non-Hispanic",New Jersey
Chronic Obstructive Pulmonary Disease,74.4,Overall,New Jersey
Cardiovascular Disease,74.4,"Hawaiian or Pacific Islander, non-Hispanic",Utah
Cardiovascular Disease,74.4,Overall,Minnesota
Cancer,74.4,Hispanic,Texas
Chronic Obstructive Pulmonary Disease,74.44,Male,Maine
Chronic Obstructive Pulmonary Disease,74.46,"Black, non-Hispanic",Utah
Cardiovascular Disease,74.5,Male,Alaska
Chronic Obstructive Pulmonary Disease,74.5,Male,New York
Diabetes,74.5,Overall,Nevada
Cardiovascular Disease,74.5,Hispanic,Arizona
Chronic Obstructive Pulmonary Disease,74.5,Age 45-64,South Dakota
Chronic Obstructive Pulmonary Disease,74.56,"White, non-Hispanic",Massachusetts
Chronic Obstructive Pulmonary Disease,74.59,"White, non-Hispanic",Virginia
Cancer,74.6,Overall,West Virginia
Diabetes,74.6,"Asian, non-Hispanic",New York
Cardiovascular Disease,74.6,"Asian, non-Hispanic",Michigan
Cancer,74.6,"Asian or Pacific Islander, non-Hispanic",Oklahoma
Chronic Obstructive Pulmonary Disease,74.6,Overall,New York
Cardiovascular Disease,74.6,Overall,Minnesota
Cardiovascular Disease,74.7,"Asian, non-Hispanic",New York
Chronic Obstructive Pulmonary Disease,74.7,Male,Maryland
Chronic Obstructive Pulmonary Disease,74.7,Female,New York
Cardiovascular Disease,74.7,Age 45-64,Idaho
Cardiovascular Disease,74.7,Overall,Georgia
Cardiovascular Disease,74.7,Age 45-64,Rhode Island
Diabetes,74.7,Female,Kansas
Chronic Obstructive Pulmonary Disease,74.71,"White, non-Hispanic",Oregon
Diabetes,74.8,Overall,New York
Diabetes,74.8,Female,Virginia
Diabetes,74.9,Age 45-64,Kansas
Chronic Obstructive Pulmonary Disease,74.9,Age 45-64,Kansas
Diabetes,74.9,"White, non-Hispanic",Virginia
Diabetes,74.9,Age 45-64,Virginia
Cardiovascular Disease,74.9,"Asian, non-Hispanic",Louisiana
Cardiovascular Disease,75.0,Age 45-64,Arizona
Chronic Obstructive Pulmonary Disease,75.0,Age 45-64,Missouri
Cancer,75.0,Male,Maine
Cardiovascular Disease,75.0,"White, non-Hispanic",Alabama
Cancer,75.0,Hispanic,California
Diabetes,75.0,Male,Alaska
Cancer,75.0,"Black, non-Hispanic",Vermont
Diabetes,75.0,Age 45-64,Hawaii
Cancer,75.0,"Black, non-Hispanic",Vermont
Chronic Obstructive Pulmonary Disease,75.03,"White, non-Hispanic",Arizona
Cardiovascular Disease,75.03,"Black, non-Hispanic",Wisconsin
Diabetes,75.1,Hispanic,New Jersey
Diabetes,75.1,Female,Hawaii
Chronic Obstructive Pulmonary Disease,75.1,Overall,Massachusetts
Cancer,75.1,Male,Mississippi
Chronic Obstructive Pulmonary Disease,75.14,"Black, non-Hispanic",Delaware
Chronic Obstructive Pulmonary Disease,75.16,"White, non-Hispanic",Minnesota
Chronic Obstructive Pulmonary Disease,75.16,Overall,Wisconsin
Chronic Obstructive Pulmonary Disease,75.16,Female,Maine
Diabetes,75.2,Overall,New Jersey
Chronic Obstructive Pulmonary Disease,75.2,"Black, non-Hispanic",Missouri
Cancer,75.2,"White, non-Hispanic",Arkansas
Cardiovascular Disease,75.2,"Asian, non-Hispanic",California
Cancer,75.3,"Asian or Pacific Islander, non-Hispanic",Illinois
Cardiovascular Disease,75.3,"American Indian or Alaska Native, non-Hispanic",Texas
Cardiovascular Disease,75.3,Overall,Delaware
Cardiovascular Disease,75.3,"Asian, non-Hispanic",Illinois
Cardiovascular Disease,75.4,"Black, non-Hispanic",Iowa
Chronic Obstructive Pulmonary Disease,75.4,Hispanic,New Mexico
Chronic Obstructive Pulmonary Disease,75.43,Overall,Minnesota
Chronic Obstructive Pulmonary Disease,75.5,"White, non-Hispanic",Hawaii
Chronic Obstructive Pulmonary Disease,75.55,"Asian or Pacific Islander, non-Hispanic",Minnesota
Cardiovascular Disease,75.6,Hispanic,Hawaii
Chronic Obstructive Pulmonary Disease,75.6,Male,Nevada
Chronic Obstructive Pulmonary Disease,75.6,"Black, non-Hispanic",Pennsylvania
Cardiovascular Disease,75.6,Age 45-64,Georgia
Cardiovascular Disease,75.6,Age 45-64,Maryland
Diabetes,75.6,"Black, non-Hispanic",Utah
Chronic Obstructive Pulmonary Disease,75.62,Male,Virginia
Chronic Obstructive Pulmonary Disease,75.7,"Multiracial, non-Hispanic",Hawaii
Cardiovascular Disease,75.7,Female,North Carolina
Cardiovascular Disease,75.7,Age 45-64,Delaware
Cancer,75.7,"White, non-Hispanic",Mississippi
Diabetes,75.7,Female,Michigan
Diabetes,75.7,"American Indian or Alaska Native, non-Hispanic",New York
Chronic Obstructive Pulmonary Disease,75.72,Male,South Carolina
Chronic Obstructive Pulmonary Disease,75.78,"American Indian or Alaska Native, non-Hispanic",Nevada
Cardiovascular Disease,75.8,Overall,Minnesota
Cancer,75.8,Overall,West Virginia
Cardiovascular Disease,75.9,Age 45-64,Minnesota
Chronic Obstructive Pulmonary Disease,75.9,"American Indian or Alaska Native, non-Hispanic",Texas
Cardiovascular Disease,75.9,"White, non-Hispanic",Alaska
Cancer,75.9,"Black, non-Hispanic",Alaska
Diabetes,75.9,Male,Illinois
Cancer,75.9,Hispanic,Wyoming
Chronic Obstructive Pulmonary Disease,75.92,Overall,Wisconsin
Chronic Obstructive Pulmonary Disease,75.92,Male,South Carolina
Diabetes,76.0,"Black, non-Hispanic",Iowa
Diabetes,76.0,Age 45-64,Maine
Chronic Obstructive Pulmonary Disease,76.03,"Black, non-Hispanic",Mississippi
Chronic Obstructive Pulmonary Disease,76.09,Male,Maine
Cardiovascular Disease,76.1,"American Indian or Alaska Native, non-Hispanic",Alaska
Diabetes,76.1,Female,North Dakota
Chronic Obstructive Pulmonary Disease,76.16,Female,New Jersey
Chronic Obstructive Pulmonary Disease,76.16,Female,Minnesota
Diabetes,76.2,"Black, non-Hispanic",Utah
Diabetes,76.2,Female,Nevada
Cardiovascular Disease,76.2,Female,North Carolina
Chronic Obstructive Pulmonary Disease,76.2,Overall,California
Chronic Obstructive Pulmonary Disease,76.2,"Black, non-Hispanic",Louisiana
Cardiovascular Disease,76.2,Female,Virginia
Cancer,76.2,Male,Arkansas
Alcohol,76.3,"American Indian or Alaska Native, non-Hispanic",Utah
Cardiovascular Disease,76.4,Age 45-64,New Hampshire
Cancer,76.4,"Asian or Pacific Islander, non-Hispanic",New Mexico
Chronic Obstructive Pulmonary Disease,76.4,"White, non-Hispanic",Hawaii
Diabetes,76.4,"Asian, non-Hispanic",Minnesota
Cardiovascular Disease,76.4,"Black, non-Hispanic",Arizona
Cardiovascular Disease,76.4,Age 45-64,Arizona
Cardiovascular Disease,76.4,Age 45-64,Wisconsin
Chronic Obstructive Pulmonary Disease,76.4,Male,Alaska
Cardiovascular Disease,76.5,Female,New Hampshire
Cardiovascular Disease,76.5,"Multiracial, non-Hispanic",Alaska
Diabetes,76.5,"Multiracial, non-Hispanic",Hawaii
Diabetes,76.5,Overall,Arizona
Diabetes,76.6,Age 45-64,Nebraska
Diabetes,76.6,Age 45-64,Idaho
Cardiovascular Disease,76.6,Hispanic,New York
Diabetes,76.6,Age 45-64,Georgia
Cardiovascular Disease,76.7,Female,Hawaii
Cardiovascular Disease,76.7,"Black, non-Hispanic",Illinois
Cancer,76.7,Male,Mississippi
Chronic Obstructive Pulmonary Disease,76.7,Age 45-64,Vermont
Cancer,76.7,"Asian or Pacific Islander, non-Hispanic",Illinois
Chronic Obstructive Pulmonary Disease,76.7,Overall,Maryland
Chronic Obstructive Pulmonary Disease,76.78,Female,Texas
Cardiovascular Disease,76.8,Female,California
Diabetes,76.8,Female,Wyoming
Chronic Obstructive Pulmonary Disease,76.8,Female,New Jersey
Chronic Obstructive Pulmonary Disease,76.85,Female,Illinois
Chronic Obstructive Pulmonary Disease,76.85,Male,Mississippi
Diabetes,76.9,Overall,Missouri
Cardiovascular Disease,76.9,"Hawaiian or Pacific Islander, non-Hispanic",Hawaii
Cardiovascular Disease,76.9,"Black, non-Hispanic",Kentucky
Chronic Obstructive Pulmonary Disease,76.9,Age 45-64,Montana
Diabetes,76.9,Age 45-64,Oregon
Cancer,76.9,"American Indian or Alaska Native, non-Hispanic",Maryland
Chronic Obstructive Pulmonary Disease,76.9,Male,Connecticut
Chronic Obstructive Pulmonary Disease,76.94,Male,Wisconsin
Cardiovascular Disease,77.0,"White, non-Hispanic",Delaware
Alcohol,77.0,"American Indian or Alaska Native, non-Hispanic",Montana
Cardiovascular Disease,77.0,"Asian, non-Hispanic",New York
Diabetes,77.0,"Asian, non-Hispanic",Maryland
Diabetes,77.0,"Black, non-Hispanic",Arizona
Cancer,77.0,"White, non-Hispanic",Kentucky
Chronic Obstructive Pulmonary Disease,77.07,"Black, non-Hispanic",New Hampshire
Chronic Obstructive Pulmonary Disease,77.09,"White, non-Hispanic",Texas
Chronic Obstructive Pulmonary Disease,77.1,"Black, non-Hispanic",Alabama
Diabetes,77.1,"White, non-Hispanic",Delaware
Chronic Obstructive Pulmonary Disease,77.1,Overall,Utah
Chronic Obstructive Pulmonary Disease,77.1,Hispanic,Arizona
Cancer,77.2,"White, non-Hispanic",Arkansas
Diabetes,77.2,Female,Idaho
Diabetes,77.2,"White, non-Hispanic",New Jersey
Cancer,77.3,"American Indian or Alaska Native, non-Hispanic",Louisiana
Diabetes,77.3,"Hawaiian or Pacific Islander, non-Hispanic",Texas
Chronic Obstructive Pulmonary Disease,77.3,Age 45-64,Nebraska
Cardiovascular Disease,77.3,"Black, non-Hispanic",Washington
Diabetes,77.3,Female,Rhode Island
Chronic Obstructive Pulmonary Disease,77.32,Female,South Carolina
Chronic Obstructive Pulmonary Disease,77.36,Male,Mississippi
Diabetes,77.4,Female,Connecticut
Cardiovascular Disease,77.4,"American Indian or Alaska Native, non-Hispanic",Utah
Diabetes,77.4,Overall,Utah
Cardiovascular Disease,77.4,Female,New Hampshire
Cardiovascular Disease,77.4,"American Indian or Alaska Native, non-Hispanic",Missouri
Cancer,77.4,"White, non-Hispanic",Mississippi
Cardiovascular Disease,77.5,"Asian, non-Hispanic",Idaho
Chronic Obstructive Pulmonary Disease,77.5,"Black, non-Hispanic",Tennessee
Cancer,77.5,Male,Kentucky
Diabetes,77.5,Age 45-64,Indiana
Cardiovascular Disease,77.51,"Black, non-Hispanic",Missouri
Cardiovascular Disease,77.51,"Black, non-Hispanic",Michigan
Cancer,77.6,"Asian or Pacific Islander, non-Hispanic",Alaska
Chronic Obstructive Pulmonary Disease,77.6,Female,Massachusetts
Cardiovascular Disease,77.6,Female,Alabama
Cardiovascular Disease,77.6,Overall,Georgia
Cardiovascular Disease,77.6,Age 45-64,New York
Chronic Obstructive Pulmonary Disease,77.66,Overall,Texas
Chronic Obstructive Pulmonary Disease,77.7,Male,Maryland
Cancer,77.7,"White, non-Hispanic",West Virginia
Chronic Obstructive Pulmonary Disease,77.7,"White, non-Hispanic",New Jersey
Chronic Obstructive Pulmonary Disease,77.7,"White, non-Hispanic",Hawaii
Chronic Obstructive Pulmonary Disease,77.75,"White, non-Hispanic",Minnesota
Diabetes,77.8,"White, non-Hispanic",New York
Cardiovascular Disease,77.8,Hispanic,Florida
Chronic Obstructive Pulmonary Disease,77.8,Female,California
Chronic Obstructive Pulmonary Disease,77.84,"American Indian or Alaska Native, non-Hispanic",Georgia
Chronic Obstructive Pulmonary Disease,77.9,Female,Utah
Chronic Obstructive Pulmonary Disease,77.9,"Black, non-Hispanic",South Carolina
Chronic Obstructive Pulmonary Disease,77.97,Male,Minnesota
Diabetes,78.0,Age 45-64,New Jersey
Cardiovascular Disease,78.0,"American Indian or Alaska Native, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,78.01,"Black, non-Hispanic",Montana
Chronic Obstructive Pulmonary Disease,78.03,"White, non-Hispanic",Illinois
Cancer,78.1,Hispanic,Hawaii
Diabetes,78.1,Overall,Colorado
Cardiovascular Disease,78.1,"Black, non-Hispanic",Connecticut
Alcohol,78.1,"American Indian or Alaska Native, non-Hispanic",Wisconsin
Chronic Obstructive Pulmonary Disease,78.1,Age 45-64,Maine
Cardiovascular Disease,78.1,Female,Wyoming
Cancer,78.2,"White, non-Hispanic",Florida
Chronic Obstructive Pulmonary Disease,78.2,Male,Massachusetts
Diabetes,78.2,"Black, non-Hispanic",Illinois
Chronic Obstructive Pulmonary Disease,78.2,Overall,Rhode Island
Chronic Obstructive Pulmonary Disease,78.2,"Black, non-Hispanic",Louisiana
Cancer,78.2,"American Indian or Alaska Native, non-Hispanic",Louisiana
Cardiovascular Disease,78.2,Age 45-64,Florida
Chronic Obstructive Pulmonary Disease,78.22,Overall,Nevada
Alcohol,78.3,"American Indian or Alaska Native, non-Hispanic",Colorado
Cardiovascular Disease,78.3,Hispanic,Michigan
Cardiovascular Disease,78.3,"Black, non-Hispanic",Washington
Cardiovascular Disease,78.3,Hispanic,Texas
Chronic Obstructive Pulmonary Disease,78.3,Female,Washington
Chronic Obstructive Pulmonary Disease,78.35,Overall,Minnesota
Cardiovascular Disease,78.4,Female,South Carolina
Chronic Obstructive Pulmonary Disease,78.4,Female,Maryland
Cardiovascular Disease,78.4,Hispanic,New Mexico
Cardiovascular Disease,78.4,Female,Illinois
Chronic Obstructive Pulmonary Disease,78.4,Age 45-64,Montana
Chronic Obstructive Pulmonary Disease,78.5,"Black, non-Hispanic",South Carolina
Cardiovascular Disease,78.5,"Asian, non-Hispanic",Alaska
Chronic Obstructive Pulmonary Disease,78.5,Age 45-64,Wyoming
Cardiovascular Disease,78.6,Age 45-64,Virginia
Cardiovascular Disease,78.6,Hispanic,Wyoming
Diabetes,78.6,Female,Louisiana
Chronic Obstructive Pulmonary Disease,78.65,Male,Texas
Chronic Obstructive Pulmonary Disease,78.69,Female,New York
Cardiovascular Disease,78.7,Female,California
Chronic Obstructive Pulmonary Disease,78.7,Overall,California
Diabetes,78.8,Overall,Hawaii
Diabetes,78.8,"White, non-Hispanic",Utah
Chronic Obstructive Pulmonary Disease,78.84,"White, non-Hispanic",South Carolina
Chronic Obstructive Pulmonary Disease,78.9,"Black, non-Hispanic",Pennsylvania
Chronic Obstructive Pulmonary Disease,78.9,Hispanic,Texas
Cardiovascular Disease,78.9,Female,North Carolina
Cardiovascular Disease,78.9,Age 45-64,Utah
Cardiovascular Disease,79.0,"Asian, non-Hispanic",Alaska
Cancer,79.0,"White, non-Hispanic",West Virginia
Cancer,79.0,"Asian or Pacific Islander, non-Hispanic",New Mexico
Diabetes,79.0,"White, non-Hispanic",Georgia
Chronic Obstructive Pulmonary Disease,79.08,Hispanic,New Mexico
Chronic Obstructive Pulmonary Disease,79.09,Male,California
Cardiovascular Disease,79.1,Female,Alabama
Cardiovascular Disease,79.1,Hispanic,California
Cancer,79.1,"Asian or Pacific Islander, non-Hispanic",Idaho
Diabetes,79.1,Female,New Hampshire
Diabetes,79.1,Male,Alabama
Chronic Obstructive Pulmonary Disease,79.2,Hispanic,Ohio
Cancer,79.2,"Asian or Pacific Islander, non-Hispanic",Alaska
Cardiovascular Disease,79.2,"Black, non-Hispanic",Connecticut
Cardiovascular Disease,79.2,Female,Florida
Diabetes,79.2,Age 45-64,Colorado
Diabetes,79.2,Male,Georgia
Diabetes,79.3,Female,Alabama
Cardiovascular Disease,79.3,Female,Illinois
Chronic Obstructive Pulmonary Disease,79.33,Overall,New Jersey
Diabetes,79.4,Overall,Massachusetts
Chronic Obstructive Pulmonary Disease,79.4,Age 45-64,Alabama
Cancer,79.4,"White, non-Hispanic",Kentucky
Chronic Obstructive Pulmonary Disease,79.4,Hispanic,Pennsylvania
Chronic Obstructive Pulmonary Disease,79.45,Male,Wisconsin
Cancer,79.5,"Asian or Pacific Islander, non-Hispanic",Louisiana
Chronic Obstructive Pulmonary Disease,79.5,Hispanic,Ohio
Chronic Obstructive Pulmonary Disease,79.5,"Black, non-Hispanic",Michigan
Cardiovascular Disease,79.5,"Asian, non-Hispanic",Arizona
Chronic Obstructive Pulmonary Disease,79.6,Male,California
Cardiovascular Disease,79.6,Overall,Georgia
Chronic Obstructive Pulmonary Disease,79.7,"Black, non-Hispanic",Wisconsin
Cardiovascular Disease,79.7,"American Indian or Alaska Native, non-Hispanic",Nevada
Cardiovascular Disease,79.7,Age 45-64,North Dakota
Diabetes,79.7,"White, non-Hispanic",Illinois
Chronic Obstructive Pulmonary Disease,79.74,Overall,Illinois
Chronic Obstructive Pulmonary Disease,79.74,Female,Arkansas
Alcohol,79.8,Age 45-64,South Dakota
Cardiovascular Disease,79.8,Age 45-64,Minnesota
Cancer,79.8,"Asian or Pacific Islander, non-Hispanic",Arizona
Chronic Obstructive Pulmonary Disease,79.89,Overall,Arkansas
Cancer,79.9,"Black, non-Hispanic",Minnesota
Chronic Obstructive Pulmonary Disease,79.9,Female,New Jersey
Cancer,79.9,"Asian or Pacific Islander, non-Hispanic",Arizona
Chronic Obstructive Pulmonary Disease,79.9,"American Indian or Alaska Native, non-Hispanic",Texas
Cancer,79.9,Hispanic,Hawaii
Chronic Obstructive Pulmonary Disease,79.9,Male,New York
Cardiovascular Disease,79.9,"White, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,79.9,Female,California
Cancer,80.0,"Black, non-Hispanic",Minnesota
Chronic Obstructive Pulmonary Disease,80.0,Male,Texas
Chronic Obstructive Pulmonary Disease,80.0,Overall,Maryland
Chronic Obstructive Pulmonary Disease,80.06,Male,Arkansas
Chronic Obstructive Pulmonary Disease,80.09,"Black, non-Hispanic",Idaho
Diabetes,80.1,"Black, non-Hispanic",Delaware
Diabetes,80.1,Female,Montana
Cardiovascular Disease,80.2,Overall,Oregon
Diabetes,80.2,"Asian, non-Hispanic",Minnesota
Chronic Obstructive Pulmonary Disease,80.23,"White, non-Hispanic",Texas
Chronic Obstructive Pulmonary Disease,80.27,"Black, non-Hispanic",Utah
Chronic Obstructive Pulmonary Disease,80.3,Overall,Washington
Diabetes,80.3,Female,Pennsylvania
Cancer,80.3,"Asian or Pacific Islander, non-Hispanic",Idaho
Cardiovascular Disease,80.3,Hispanic,California
Alcohol,80.4,"American Indian or Alaska Native, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,80.4,Female,Wisconsin
Chronic Obstructive Pulmonary Disease,80.4,Female,Washington
Diabetes,80.4,Female,Maryland
Cardiovascular Disease,80.4,Age 45-64,North Dakota
Diabetes,80.4,Female,Hawaii
Chronic Obstructive Pulmonary Disease,80.42,"White, non-Hispanic",Arkansas
Chronic Obstructive Pulmonary Disease,80.42,"White, non-Hispanic",Illinois
Chronic Obstructive Pulmonary Disease,80.5,Overall,Massachusetts
Chronic Obstructive Pulmonary Disease,80.5,"Black, non-Hispanic",Kentucky
Cancer,80.5,"White, non-Hispanic",Florida
Chronic Obstructive Pulmonary Disease,80.51,Overall,South Carolina
Chronic Obstructive Pulmonary Disease,80.58,Overall,Texas
Alcohol,80.6,"American Indian or Alaska Native, non-Hispanic",Utah
Chronic Obstructive Pulmonary Disease,80.6,Overall,California
Chronic Obstructive Pulmonary Disease,80.63,Overall,Nevada
Chronic Obstructive Pulmonary Disease,80.65,"Black, non-Hispanic",Mississippi
Diabetes,80.7,Overall,Florida
Cardiovascular Disease,80.7,Female,Montana
Chronic Obstructive Pulmonary Disease,80.7,"Black, non-Hispanic",Colorado
Diabetes,80.7,Age 45-64,Ohio
Chronic Obstructive Pulmonary Disease,80.76,Male,Minnesota
Cardiovascular Disease,80.8,Age 45-64,North Carolina
Chronic Obstructive Pulmonary Disease,80.8,Overall,New York
Chronic Obstructive Pulmonary Disease,80.81,Female,Illinois
Chronic Obstructive Pulmonary Disease,80.83,"White, non-Hispanic",New Jersey
Chronic Obstructive Pulmonary Disease,80.88,"American Indian or Alaska Native, non-Hispanic",Pennsylvania
Diabetes,80.9,Female,New Jersey
Cardiovascular Disease,80.9,Hispanic,New Jersey
Diabetes,80.9,"White, non-Hispanic",Massachusetts
Chronic Obstructive Pulmonary Disease,80.99,Overall,Maine
Cancer,81.0,Male,Kentucky
Cardiovascular Disease,81.0,"White, non-Hispanic",Alaska
Chronic Obstructive Pulmonary Disease,81.0,"Black, non-Hispanic",Nevada
Cardiovascular Disease,81.0,"Black, non-Hispanic",Alabama
Chronic Obstructive Pulmonary Disease,81.0,Age 45-64,Michigan
Diabetes,81.1,"Black, non-Hispanic",Alabama
Cardiovascular Disease,81.1,"White, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,81.1,Overall,Alaska
Diabetes,81.1,Hispanic,Oklahoma
Cancer,81.1,"American Indian or Alaska Native, non-Hispanic",Maryland
Chronic Obstructive Pulmonary Disease,81.1,Female,Texas
Cardiovascular Disease,81.2,"Asian, non-Hispanic",Florida
Cancer,81.3,"Asian or Pacific Islander, non-Hispanic",Maryland
Cardiovascular Disease,81.3,Age 45-64,Georgia
Diabetes,81.3,Hispanic,New Mexico
Chronic Obstructive Pulmonary Disease,81.3,"Asian, non-Hispanic",Hawaii
Chronic Obstructive Pulmonary Disease,81.3,"Multiracial, non-Hispanic",Florida
Cardiovascular Disease,81.4,Age 45-64,North Dakota
Diabetes,81.4,Overall,Texas
Chronic Obstructive Pulmonary Disease,81.4,"Asian, non-Hispanic",Wisconsin
Cardiovascular Disease,81.4,Female,Delaware
Cardiovascular Disease,81.4,"American Indian or Alaska Native, non-Hispanic",Alaska
Diabetes,81.4,Age 45-64,Hawaii
Cardiovascular Disease,81.4,Female,Arizona
Cardiovascular Disease,81.4,Age 45-64,Wisconsin
Cardiovascular Disease,81.4,Overall,Oregon
Chronic Obstructive Pulmonary Disease,81.5,Overall,Utah
Chronic Obstructive Pulmonary Disease,81.5,Male,California
Chronic Obstructive Pulmonary Disease,81.5,"American Indian or Alaska Native, non-Hispanic",Arizona
Cardiovascular Disease,81.5,Age 45-64,Virginia
Chronic Obstructive Pulmonary Disease,81.51,"White, non-Hispanic",Nevada
Diabetes,81.6,"Asian, non-Hispanic",New Mexico
Cancer,81.6,Hispanic,New York
Chronic Obstructive Pulmonary Disease,81.6,Female,New York
Cardiovascular Disease,81.6,"Black, non-Hispanic",Arizona
Diabetes,81.6,Age 45-64,Washington
Chronic Obstructive Pulmonary Disease,81.6,Hispanic,Arizona
Chronic Obstructive Pulmonary Disease,81.64,"Black, non-Hispanic",Massachusetts
Diabetes,81.7,"Black, non-Hispanic",Nevada
Diabetes,81.7,Female,New Mexico
Chronic Obstructive Pulmonary Disease,81.7,"Black, non-Hispanic",Michigan
Cardiovascular Disease,81.8,Age 45-64,Wisconsin
Chronic Obstructive Pulmonary Disease,81.8,"Black, non-Hispanic",Alabama
Cardiovascular Disease,81.8,Age 45-64,Alaska
Chronic Obstructive Pulmonary Disease,81.84,Female,Georgia
Cardiovascular Disease,81.9,"Black, non-Hispanic",Kentucky
Cancer,81.9,Hispanic,New York
Chronic Obstructive Pulmonary Disease,81.9,Female,Maryland
Chronic Obstructive Pulmonary Disease,81.9,"Black, non-Hispanic",Massachusetts
Cardiovascular Disease,81.9,"Black, non-Hispanic",Arizona
Chronic Obstructive Pulmonary Disease,81.99,"White, non-Hispanic",California
Chronic Obstructive Pulmonary Disease,82.0,Female,Hawaii
Diabetes,82.0,"Asian, non-Hispanic",New Mexico
Chronic Obstructive Pulmonary Disease,82.08,Overall,New York
Cardiovascular Disease,82.1,"American Indian or Alaska Native, non-Hispanic",Michigan
Cardiovascular Disease,82.1,Female,Florida
Cardiovascular Disease,82.1,Male,Colorado
Cardiovascular Disease,82.1,"Asian, non-Hispanic",Nevada
Diabetes,82.1,Male,New York
Chronic Obstructive Pulmonary Disease,82.2,Male,Minnesota
Diabetes,82.2,"White, non-Hispanic",Utah
Diabetes,82.2,Age 45-64,Iowa
Cardiovascular Disease,82.2,Age 45-64,Florida
Cardiovascular Disease,82.2,Age 45-64,Florida
Diabetes,82.3,"White, non-Hispanic",Missouri
Chronic Obstructive Pulmonary Disease,82.3,"Black, non-Hispanic",Michigan
Diabetes,82.3,Age 45-64,Virginia
Diabetes,82.3,Female,Georgia
Cardiovascular Disease,82.39,"Black, non-Hispanic",Wisconsin
Chronic Obstructive Pulmonary Disease,82.4,"Black, non-Hispanic",Pennsylvania
Diabetes,82.4,"White, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,82.48,"White, non-Hispanic",Wisconsin
Chronic Obstructive Pulmonary Disease,82.5,Male,Washington
Diabetes,82.5,"American Indian or Alaska Native, non-Hispanic",Florida
Diabetes,82.5,"American Indian or Alaska Native, non-Hispanic",Alaska
Cardiovascular Disease,82.5,"Hawaiian or Pacific Islander, non-Hispanic",Texas
Chronic Obstructive Pulmonary Disease,82.5,Female,Massachusetts
Chronic Obstructive Pulmonary Disease,82.52,Female,Mississippi
Chronic Obstructive Pulmonary Disease,82.54,"Black, non-Hispanic",Virginia
Chronic Obstructive Pulmonary Disease,82.55,"American Indian or Alaska Native, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,82.58,Female,North Carolina
Chronic Obstructive Pulmonary Disease,82.59,"White, non-Hispanic",Maine
Diabetes,82.6,Age 45-64,Utah
Cardiovascular Disease,82.6,"American Indian or Alaska Native, non-Hispanic",Missouri
Cardiovascular Disease,82.6,Overall,Massachusetts
Cancer,82.6,"American Indian or Alaska Native, non-Hispanic",Kentucky
Cardiovascular Disease,82.6,Age 45-64,Delaware
Diabetes,82.6,Age 45-64,Texas
Chronic Obstructive Pulmonary Disease,82.6,Age 45-64,South Carolina
Cardiovascular Disease,82.6,Overall,Massachusetts
Chronic Obstructive Pulmonary Disease,82.6,Female,Alaska
Diabetes,82.6,Female,Illinois
Chronic Obstructive Pulmonary Disease,82.65,"Black, non-Hispanic",Washington
Chronic Obstructive Pulmonary Disease,82.7,"White, non-Hispanic",North Carolina
Chronic Obstructive Pulmonary Disease,82.7,Female,Massachusetts
Cardiovascular Disease,82.7,Age 45-64,New York
Diabetes,82.7,Hispanic,Illinois
Cardiovascular Disease,82.7,Age 45-64,Texas
Diabetes,82.7,Age 45-64,North Dakota
Chronic Obstructive Pulmonary Disease,82.71,Female,Arkansas
Chronic Obstructive Pulmonary Disease,82.71,"American Indian or Alaska Native, non-Hispanic",New Jersey
Chronic Obstructive Pulmonary Disease,82.73,"American Indian or Alaska Native, non-Hispanic",Nevada
Chronic Obstructive Pulmonary Disease,82.75,Overall,Illinois
Diabetes,82.8,Male,Delaware
Chronic Obstructive Pulmonary Disease,82.88,"White, non-Hispanic",New York
Cardiovascular Disease,82.9,"American Indian or Alaska Native, non-Hispanic",Alabama
Cardiovascular Disease,82.9,"Black, non-Hispanic",South Carolina
Diabetes,82.9,"Black, non-Hispanic",Massachusetts
Cardiovascular Disease,82.9,Female,South Dakota
Cancer,82.9,"Asian or Pacific Islander, non-Hispanic",Mississippi
Chronic Obstructive Pulmonary Disease,82.95,Overall,Arkansas
Chronic Obstructive Pulmonary Disease,83.0,"White, non-Hispanic",Connecticut
Cardiovascular Disease,83.0,Age 45-64,Pennsylvania
Chronic Obstructive Pulmonary Disease,83.0,Overall,Connecticut
Chronic Obstructive Pulmonary Disease,83.0,Overall,Washington
Diabetes,83.1,Overall,Washington
Cardiovascular Disease,83.1,Male,Colorado
Chronic Obstructive Pulmonary Disease,83.1,Overall,Minnesota
Chronic Obstructive Pulmonary Disease,83.1,"Black, non-Hispanic",Massachusetts
Diabetes,83.2,Age 45-64,Pennsylvania
Cardiovascular Disease,83.2,"Asian, non-Hispanic",Rhode Island
Cardiovascular Disease,83.2,"White, non-Hispanic",Colorado
